Spot Price,Strike Price,Call Price,Put Price
67051.2112,62000,0.0,0.0
67051.2112,62000,0.0,0.0
67053.1887,63000,0.0,0.0
67053.1887,63000,0.0,0.0
67054.6835,64000,0.0,0.0
67054.6835,64000,0.0,0.0
67056.2028,65000,0.0,0.0
67056.2028,65000,0.0,0.0
67055.9394,65500,0.0,0.0
67055.9394,65500,0.0,0.0
67055.3814,66000,0.0,0.0
67055.3814,66000,0.0,0.0
67055.2398,66500,0.0,0.0
67055.2398,66500,0.0,0.0
67055.566,67000,0.0,0.0
67055.566,67000,0.0,0.0
67052.6193,67500,0.0,0.0
67052.6193,67500,0.0,0.0
67048.6392,68000,0.0,0.0
67048.6392,68000,0.0,0.0
67049.1753,68500,0.0,0.0
67048.6392,68500,0.0,0.0
67048.6355,69000,0.0,0.0
67048.6355,69000,0.0,0.0
67049.3321,69500,0.0,0.0
67049.3321,69500,0.0,0.0
67050.0115,70000,0.0,0.0
67050.0115,70000,0.0,0.0
67049.2236,70500,0.0,0.0
67049.2236,70500,0.0,0.0
67050.9429,71000,0.0,0.0
67050.9429,71000,0.0,0.0
67047.0315,72000,0.0,0.0
67047.0315,72000,0.0,0.0
67042.2316,73000,0.0,0.0
67042.2316,73000,0.0,0.0
67041.405,74000,0.0,0.0
67041.405,74000,0.0,0.0
68228.1408,15000,0.0,0.0
68228.1408,15000,0.0,0.0
68227.3269,20000,0.0,0.0
68227.3269,20000,0.0,0.0
68227.19,25000,0.0,0.0
68227.19,25000,0.0,0.0
68224.4192,30000,0.0,0.0
68224.4192,30000,0.0,0.0
68222.6423,35000,0.0,0.0
68222.6423,35000,0.0,0.0
68222.1577,40000,0.0,0.0
68222.1577,40000,0.0,0.0
68226.9331,45000,0.0,0.0
68226.9331,45000,0.0,0.0
68231.7815,50000,0.0,0.0
68231.7815,50000,0.0,0.0
68240.8792,55000,0.0,0.0
68240.8792,55000,0.0,0.0
68246.1031,60000,0.0,0.0
68246.1031,60000,0.0,0.0
68247.2738,65000,0.0,0.0
68247.2738,65000,0.0,0.0
68244.8708,70000,0.0,0.0
68244.8708,70000,0.0,0.0
68248.5077,75000,0.0,0.0
68248.5077,75000,0.0,0.0
68250.2085,80000,0.0,0.0
68250.2085,80000,0.0,0.0
68250.7031,85000,0.0,0.0
68250.7031,85000,0.0,0.0
68250.2223,90000,0.0,0.0
68250.2223,90000,0.0,0.0
68250.1585,95000,0.0,0.0
68250.1585,95000,0.0,0.0
68249.6938,100000,0.0,0.0
68249.6938,100000,0.0,0.0
68247.9308,105000,0.0,0.0
68247.9308,105000,0.0,0.0
68245.6977,110000,0.0,0.0
68245.6977,110000,0.0,0.0
